Players,Custom,fideID
"Baenziger, Fabian",https://players.chessbase.com/en/player/Baenziger_%20Fabian,1330110
"Sebenik, Matej",https://players.chessbase.com/en/player/Sebenik_%20Matej,14602296
"Subelj, Jan",https://players.chessbase.com/en/player/Subelj_%20Jan,14618583
"Sonis, Francesco",https://players.chessbase.com/en/player/Sonis_%20Francesco,895733
"Martin Duque, Jesus",https://players.chessbase.com/en/player/Martin%20Duque_%20Jesus,2208954
"Shetty, Atulya",https://players.chessbase.com/en/player/Shetty_%20Atulya,2031213
"Kuhn, Clement",https://players.chessbase.com/en/player/Kuhn_%20Clement,36099775
"Markoja, Boris",https://players.chessbase.com/en/player/Markoja_%20Boris,14608502
"Pasini, Nicolo",https://players.chessbase.com/en/player/Pasini_%20Nicolo,2809600
"Deuer, Marius",https://players.chessbase.com/en/player/Deuer_%20Marius,16236432
"Diermair, Andreas",https://players.chessbase.com/en/player/Diermair_%20Andreas,1612468
"Di Benedetto, Edoardo",https://players.chessbase.com/en/player/Di%20Benedetto_%20Edoardo,875740
"Mameli, Gianluca",https://players.chessbase.com/en/player/Mameli_%20Gianluca,847755
"Brinovec, David",https://players.chessbase.com/en/player/Brinovec_%20David,14608642
"Dragnev, Valentin",https://players.chessbase.com/en/player/Dragnev_%20Valentin,1634852
"Popchev, Milko",https://players.chessbase.com/en/player/Popchev_%20Milko,2900165
"Drazic, Sinisa",https://players.chessbase.com/en/player/Drazic_%20Sinisa,901172
"Fernandez, Daniel Howard",https://players.chessbase.com/en/player/Fernandez_%20Daniel%20Howard,5801605
"Gharibyan, Mamikon",https://players.chessbase.com/en/player/Gharibyan_%20Mamikon,13308300
"Omorjan, Dejan",https://players.chessbase.com/en/player/Omorjan_%20Dejan,955345
"Peycheva, Gergana",https://players.chessbase.com/en/player/Peycheva_%20Gergana,2916711
"Davtyan, Artur",https://players.chessbase.com/en/player/Davtyan_%20Artur,13308327
"Cvitan, Ena",https://players.chessbase.com/en/player/Cvitan_%20Ena,14534215
"Nikac, Predrag",https://players.chessbase.com/en/player/Nikac_%20Predrag,908975
"Nikcevic, Nebojsa",https://players.chessbase.com/en/player/Nikcevic_%20Nebojsa,901776
"Bogosavljevic, Boban",https://players.chessbase.com/en/player/Bogosavljevic_%20Boban,931152
"Sanal, Vahap",https://players.chessbase.com/en/player/Sanal_%20Vahap,6300545
"Suleymanli, Aydin Elshan",https://players.chessbase.com/en/player/Suleymanli_%20Aydin%20Elshan,13413937
"Kisic, Bozidar",https://players.chessbase.com/en/player/Kisic_%20Bozidar,16500350
"Draskovic, Luka",https://players.chessbase.com/en/player/Draskovic_%20Luka,944335
"Djukic, Nikola",https://players.chessbase.com/en/player/Djukic_%20Nikola,922412
"Girel, Joseph",https://players.chessbase.com/en/player/Girel_%20Joseph,36033561
"Osmak, Iulija",https://players.chessbase.com/en/player/Osmak_%20Iulija,14101602
"Sukovic, Andrej",https://players.chessbase.com/en/player/Sukovic_%20Andrej,16502310
"Katz, Alexander R",https://players.chessbase.com/en/player/Katz_%20Alexander%20R,2039796
"Tian, Eddy",https://players.chessbase.com/en/player/Tian_%20Eddy,30931975
"Bartell, Thomas",https://players.chessbase.com/en/player/Bartell_%20Thomas,2017849
"Asaria, Danial",https://players.chessbase.com/en/player/Asaria_%20Danial,2062666
"Belous, Vladimir",https://players.chessbase.com/en/player/Belous_%20Vladimir,4174003
"Andriasian, Zaven",https://players.chessbase.com/en/player/Andriasian_%20Zaven,13302000
"Cordova, Emilio",https://players.chessbase.com/en/player/Cordova_%20Emilio,3801497
"Mahajan, Rushaan",https://players.chessbase.com/en/player/Mahajan_%20Rushaan,30934222
"Morrison, William",https://players.chessbase.com/en/player/Morrison_%20William,2009315
"Gledura, Benjamin",https://players.chessbase.com/en/player/Gledura_%20Benjamin,712779
"Zhou, Jianchao",https://players.chessbase.com/en/player/Zhou_%20Jianchao,8603537
"Brodsky, David",https://players.chessbase.com/en/player/Brodsky_%20David,2073250
"Gorman, Dov",https://players.chessbase.com/en/player/Gorman_%20Dov,2001233
"Hungaski, Robert Andrew",https://players.chessbase.com/en/player/Hungaski_%20Robert%20Andrew,2021030
"Rosenthal, Nicholas",https://players.chessbase.com/en/player/Rosenthal_%20Nicholas,2045150
"Monteiro, Paulo Alexandre G",https://players.chessbase.com/en/player/Monteiro_%20Paulo%20Alexandre%20G,1942999
"Rey Malde, Henrique",https://players.chessbase.com/en/player/Rey%20Malde_%20Henrique,2244969
"Suarez Gomez, Julio",https://players.chessbase.com/en/player/Suarez%20Gomez_%20Julio,22275991
"Eugene, Floryan",https://players.chessbase.com/en/player/Eugene_%20Floryan,20694784
"Storme, Isak",https://players.chessbase.com/en/player/Storme_%20Isak,1728113
"Beerdsen, Thomas",https://players.chessbase.com/en/player/Beerdsen_%20Thomas,1030108
"Veiga, Jose Francisco RP",https://players.chessbase.com/en/player/Veiga_%20Jose%20Francisco%20RP,1930087
"Garcia Hernandez, Angel",https://players.chessbase.com/en/player/Garcia%20Hernandez_%20Angel,54570093
"De Schampheleire, Glen",https://players.chessbase.com/en/player/De%20Schampheleire_%20Glen,208701
"Campora, Daniel Hugo",https://players.chessbase.com/en/player/Campora_%20Daniel%20Hugo,100013
"Galperin, Platon",https://players.chessbase.com/en/player/Galperin_%20Platon,14165414
"Vlachos, Anatole",https://players.chessbase.com/en/player/Vlachos_%20Anatole,26093189
"Erigaisi, Arjun Kumar",https://players.chessbase.com/en/player/Erigaisi_%20Arjun%20Kumar,35009192
"Bicer, Atakan Mert",https://players.chessbase.com/en/player/Bicer_%20Atakan%20Mert,34560645
"Indjic, Aleksandar",https://players.chessbase.com/en/player/Indjic_%20Aleksandar,911925
"Cabarkapa, Novak",https://players.chessbase.com/en/player/Cabarkapa_%20Novak,943746
"Ivic, Velimir",https://players.chessbase.com/en/player/Ivic_%20Velimir,950122
"Budisavljevic, Luka",https://players.chessbase.com/en/player/Budisavljevic_%20Luka,960047
"Stojanovic, Dalibor",https://players.chessbase.com/en/player/Stojanovic_%20Dalibor,922692
"Damjanovic, Vuk",https://players.chessbase.com/en/player/Damjanovic_%20Vuk,980021
"Rakhmanov, Alexander",https://players.chessbase.com/en/player/Rakhmanov_%20Alexander,4173708
"Naiditsch, Arkadij",https://players.chessbase.com/en/player/Naiditsch_%20Arkadij,4650891
"Rios, Cristhian Camilo",https://players.chessbase.com/en/player/Rios_%20Cristhian%20Camilo,4403940
"Salem, AR Saleh",https://players.chessbase.com/en/player/Salem_%20AR%20Saleh,9301348
"Amin, Bassem",https://players.chessbase.com/en/player/Amin_%20Bassem,10601457
"Nisipeanu, Liviu Dieter",https://players.chessbase.com/en/player/Nisipeanu_%20Liviu%20Dieter,1202758
"Abdusattorov, Nodirbek",https://players.chessbase.com/en/player/Abdusattorov_%20Nodirbek,14204118
"Nikolov, Momchil",https://players.chessbase.com/en/player/Nikolov_%20Momchil,2905710
"Harutyunian, Tigran K",https://players.chessbase.com/en/player/Harutyunian_%20Tigran%20K,13303635
"Adhiban, Baskaran",https://players.chessbase.com/en/player/Adhiban_%20Baskaran,5018471
"Urh, Zala",https://players.chessbase.com/en/player/Urh_%20Zala,14611481
"Papadiamandis, Elliot",https://players.chessbase.com/en/player/Papadiamandis_%20Elliot,36074160
"Bashirli, Nail Qoshqar",https://players.chessbase.com/en/player/Bashirli_%20Nail%20Qoshqar,13406809
"Ioannidis, Evgenios",https://players.chessbase.com/en/player/Ioannidis_%20Evgenios,4229274
"Muradli, Mahammad",https://players.chessbase.com/en/player/Muradli_%20Mahammad,13409301
"Ochedzan, Tymon",https://players.chessbase.com/en/player/Ochedzan_%20Tymon,21810389
"Sarana, Alexey",https://players.chessbase.com/en/player/Sarana_%20Alexey,24133795
"Petrov, Martin",https://players.chessbase.com/en/player/Petrov_%20Martin,2911086
"Rakhmatullaev, Almas",https://players.chessbase.com/en/player/Rakhmatullaev_%20Almas,14205793
"Koziak, Vitali",https://players.chessbase.com/en/player/Koziak_%20Vitali,14102234
"Vokhidov, Shamsiddin",https://players.chessbase.com/en/player/Vokhidov_%20Shamsiddin,14204223
"Sindarov, Javokhir",https://players.chessbase.com/en/player/Sindarov_%20Javokhir,14205483
"Dzhumaev, Marat",https://players.chessbase.com/en/player/Dzhumaev_%20Marat,14200236
"Vakhidov, Jahongir",https://players.chessbase.com/en/player/Vakhidov_%20Jahongir,14201801
"Sjugirov, Sanan",https://players.chessbase.com/en/player/Sjugirov_%20Sanan,4189302
"Aronian, Levon",https://players.chessbase.com/en/player/Aronian_%20Levon,13300474
"Mamedyarov, Shakhriyar",https://players.chessbase.com/en/player/Mamedyarov_%20Shakhriyar,13401319
"Firouzja, Alireza",https://players.chessbase.com/en/player/Firouzja_%20Alireza,12573981
"Dominguez Perez, Leinier",https://players.chessbase.com/en/player/Dominguez%20Perez_%20Leinier,3503240
"So, Wesley",https://players.chessbase.com/en/player/So_%20Wesley,5202213
"Vachier Lagrave, Maxime",https://players.chessbase.com/en/player/Vachier%20Lagrave_%20Maxime,623539
"Caruana, Fabiano",https://players.chessbase.com/en/player/Caruana_%20Fabiano,2020009
"Carlsen, Magnus",https://players.chessbase.com/en/player/Carlsen_%20Magnus,1503014
"Kobalia, Mihail",https://players.chessbase.com/en/player/Kobalia_%20Mihail,4119150
"Maghsoodloo, Parham",https://players.chessbase.com/en/player/Maghsoodloo_%20Parham,12539929
"Kuzubov, Yuriy",https://players.chessbase.com/en/player/Kuzubov_%20Yuriy,14112906
"Idani, Pouya",https://players.chessbase.com/en/player/Idani_%20Pouya,12510130
"Shankland, Samuel L",https://players.chessbase.com/en/player/Shankland_%20Samuel%20L,2004887
"Xiong, Jeffery",https://players.chessbase.com/en/player/Xiong_%20Jeffery,2047640
"Wei, Yi",https://players.chessbase.com/en/player/Wei_%20Yi,8603405
"Tari, Aryan",https://players.chessbase.com/en/player/Tari_%20Aryan,1510045
"Duda, Jan Krzysztof",https://players.chessbase.com/en/player/Duda_%20Jan%20Krzysztof,1170546
"Rapport, Richard",https://players.chessbase.com/en/player/Rapport_%20Richard,738590
"Ju, Wenjun",https://players.chessbase.com/en/player/Ju_%20Wenjun,8603006
"Wojtaszek, Radoslaw",https://players.chessbase.com/en/player/Wojtaszek_%20Radoslaw,1118358
"Giri, Anish",https://players.chessbase.com/en/player/Giri_%20Anish,24116068
